article singular,noun singular,article plural,noun plural,meaning
Die,Seife,Die,Seifen,Soap
Der,Whisky,,,Whiskey
Die,Frau,Die,Frauen,Female
Der,Bürgermeister,Die,Bürgermeister,Mayor
Der,Schlaganfall,Die,Schlaganfälle,Stroke
Der,Klick,Die,Klicks,Click
Der,Ruf,Die,Rufe,Reputation
Der,Müller,Die,Müller,Miller
Der,Rat,Die,Räte,Council
Der,Zeitplan,Die,Zeitpläne,Schedule
Der,Friedhof,Die,Friedhöfe,Cemetery
Der,Kampf,Die,Kämpfe,Struggle
Der,Instinkt,Die,Instinkte,Instinct
Die,Ruhe,,,Calm
Der,Mitarbeiter,Die,Mitarbeiter,Employee
Das,Nest,Die,Nester,Nest
Die,Grenze,Die,Grenzen,Limit
Der,Deutsche,Die,Deutschen,German
Der,Mönch,Die,Mönche,Monk
Der,Wurm,Die,Würmer,Worm
Das,Dokument,Die,Dokumente,Document
Die,Trauer,,,Sadness
Der,Hut,Die,Hüte,Hut
Das,Leben,Die,Leben,Lifetime
Der,Tänzer,Die,Tänzer,Dancer
Die,Versicherung,Die,Versicherungen,Insurance
Die,Schwierigkeit,Die,Schwierigkeiten,Difficulty
Die,Matratze,Die,Matratzen,Mattress
Der,Mann,Die,Männer,Male
Die,Klinik,Die,Kliniken,Clinic
Die,Anzeige,Die,Anzeigen,Ad
Der,Becher,Die,Becher,Mug
Das,Set,Die,Sets,Kit
Die,Kommunikation,Die,Kommunikationen,Communication
Die,Katastrophe,Die,Katastrophen,Disaster
Die,Fliese,Die,Fliesen,Tile
Der,Empfänger,Die,Empfänger,Receiver
Das,Gebrüll,,,Roar
Die,Truppe,Die,Truppen,Troop
Der,Sarg,Die,Särge,Coffin
Die,Freundschaft,Die,Freundschaften,Friendship
Die,Untersuchung,Die,Untersuchungen,Investigation
Der,Verkauf,Die,Verkäufe,Sale
Das,Tor,Die,Tore,Goal
Der,Krankenwagen,Die,Krankenwagen,Ambulance
Das,Mondschein,,,Moonlight
Die,Station,Die,Stationen,Ward
Die,Hose,Die,Hosen,Trousers
Die,Wolle,,,Wool
Der,Regenmantel,Die,Regenmäntel,Mac
Der,Minister,Die,Minister,Minister
Der,Eintrag,Die,Einträge,Entry
Der,Dieb,Die,Diebe,Thief
Der,Aktenkoffer,Die,Aktentaschen,Briefcase
Das,Mitleid,,,Pity
Die,Fingerspitze,Die,Fingerspitzen,Fingertip
Die,Marine,Die,Marinen,Navy
Das,Insekt,Die,Insekten,Insect
Der,Samt,,,Velvet
Die,Biene,Die,Bienen,Bee
Der,Stock,Die,Stöcke,Cane
Das,Gen,Die,Gene,Gene
Der,Salat,Die,Salate,Salad
Die,Windschutzscheibe,Die,Windschutzscheiben,Windshield
Das,Outfit,Die,Outfits,Outfit
Das,Shuttle,Die,Shuttle,Shuttle
Der,Schrei,Die,Schreie,Shout
Die,Wut,,,Fury
Die,Herausforderung,Die,Herausforderungen,Challenge
Die,Zufriedenheit,,,Satisfaction
Der,Motor,Die,Motoren,Motor
Das,Produkt,Die,Produkte,Product
Das,Unkraut,,,Weed
Der,Stretch,,,Stretch
Das,Fitnessstudio,Die,Fitnessstudios,Gym
Die,Hauptstadt,Die,Hauptstädte,Capital
Der,Rand,Die,Ränder,Rim
Die,Pfote,Die,Pfoten,Paw
Das,Fort,Die,Forts,Fort
Die,Kosten,,,Cost
Das,Poster,Die,Poster,Poster
Der,Vampir,Die,Vampire,Vampire
Der,Schaft,Die,Schäfte,Shaft
Die,Identität,Die,Identitäten,Identity
Der,Gehweg,Die,Gehwege,Pavement
Das,Arschloch,Die,Arschlöcher,Asshole
Das,Band,Die,Bänder,Strap
Der,Salon,Die,Salons,Parlor
Der,Hafen,Die,Häfen,Harbor
Das,Beispiel,Die,Beispiele,Example
Das,Netz,Die,Netze,Web
Der,Golf,,,Golf
Der,Mist,,,Crap
Die,Freude,,,Delight
Die,Steppdecke,Die,Steppdecken,Quilt
Die,Steuer,Die,Steuern,Tax
Die,Falte,Die,Falten,Fold
Das,Porträt,Die,Porträts,Portrait
Das,Gewebe,Die,Gewebe,Tissue
Der,Glaube,Die,Glauben,Belief
Das,Kostüm,Die,Kostüme,Costume
Das,Maß,Die,Maße,Measure
Die,Kutsche,Die,Kutschen,Carriage
Die,Gitarre,Die,Gitarren,Guitar
Der,Ritter,Die,Ritter,Knight
Der,Rang,Die,Ränge,Rank
Der,Major,Die,Majore,Major
Der,Brunnen,Die,Brunnen,Fountain
Der,Stall,Die,Ställe,Stall
Die,Ladung,Die,Ladungen,Load
Der,Funke,Die,Funken,Spark
Der,Abfall,,,Waste
Der,Champagner,,,Champagne
Der,Bezirk,Die,Bezirke,District
Der,Schutz,,,Protection
Das,Urteil,Die,Urteile,Judgment
Das,Mitgefühl,,,Sympathy
Das,Veilchen,Die,Veilchen,Violet
Der,Aufprall,Die,Aufprälle,Impact
Die,Enttäuschung,Die,Enttäuschungen,Disappointment
Das,Trinken,,,Drinking
Das,Bewusstsein,,,Consciousness
Das,Taschentuch,Die,Taschentücher,Handkerchief
Das,Tanzen,,,Dancing
Das,Parfüm,Die,Parfüms,Perfume
Das,Netzwerk,Die,Netzwerke,Network
Die,Forderung,Die,Forderungen,Claim
Die,Nonne,Die,Nonnen,Nun
Die,Krone,Die,Kronen,Crown
Das,Geländer,Die,Geländer,Railing
Die,Lizenz,Die,Lizenzen,License
Die,Gnade,,,Mercy
Der,Ballon,Die,Ballons,Balloon
Das,Chaos,,,Chaos
Das,Fieber,,,Fever
Der,Schließfach,Die,Schließfächer,Locker
Die,Sitzung,Die,Sitzungen,Session
Der,Ausbruch,Die,Ausbrüche,Burst
Der,Gipfel,Die,Gipfel,Peak
Die,Trommel,Die,Trommeln,Drum
Der,Fokus,Die,Foki,Focus
Der,Frosch,Die,Frösche,Frog
Der,Nutzen,Die,Nutzen,Benefit
Die,Bemerkung,Die,Bemerkungen,Remark
Die,Flut,Die,Fluten,Tide
Der,Verdacht,Die,Verdächte,Suspicion
Der,Jeep,Die,Jeeps,Jeep
Die,Sorge,Die,Sorgen,Worry
Die,Literatur,,,Literature
Der,Bogenschütze,Die,Bogenschützen,Archer
Der,Haushalt,Die,Haushalte,Household
Das,Pulver,Die,Pulver,Powder
Der,Hirte,Die,Hirten,Shepherd
Die,Linse,Die,Linsen,Lens
Der,Favorit,Die,Favoriten,Favorite
Die,Dame,,,Madame
Die,Villa,Die,Villen,Mansion
Der,Boom,Die,Booms,Boom
Die,Spitze,Die,Spitzen,Lace
Die,Bewertung,Die,Bewertungen,Review
Der,Empfang,Die,Empfänge,Reception
Der,Schrott,,,Scrap
Die,Perle,Die,Perlen,Bead
Das,Blenden,,,Glare
Der,Fluss,Die,Flüsse,Flow
Das,Café,Die,Cafés,Cafe
Der,Status,Die,Stati,Status
Das,Hämmern,,,Pounding
Die,Rakete,Die,Raketen,Rocket
Die,Schlucht,Die,Schluchten,Canyon
Die,Trauer,,,Sorrow
Die,Spinne,Die,Spinnen,Spider
Die,Explosion,Die,Explosionen,Blast
Die,Persönlichkeit,Die,Persönlichkeiten,Personality
Der,Campus,Die,Campi,Campus
Der,Fluch,Die,Flüche,Curse
Das,Treppenhaus,Die,Treppenhäuser,Staircase
Der,Drang,Die,Dränge,Urge
Die,Frustration,,,Frustration
Die,Pumpe,Die,Pumpen,Pump
Die,Leichtigkeit,,,Ease
Der,Graf,Die,Grafen,Count
Die,Lösung,Die,Lösungen,Solution
Der,Schmuck,,,Jewelry
Die,Sirene,Die,Sirenen,Siren
Der,Hit,Die,Hits,Hit
Die,Tradition,Die,Traditionen,Tradition
Der,Bordstein,Die,Bordsteine,Curb
Die,Vielfalt,Die,Vielfalten,Variety
Der,Pirat,Die,Piraten,Pirate
Die,Beschreibung,Die,Beschreibungen,Description
Der,Liebling,Die,Lieblinge,Dear
Die,Angst,Die,Ängste,Anxiety
Die,Tonhöhe,Die,Tonhöhen,Pitch
Die,Pizza,Die,Pizzen,Pizza
Der,Elefant,Die,Elefanten,Elephant
Die,Politik,,,Politics
Das,Tennis,,,Tennis
Der,Hunger,,,Hunger
Das,Genie,Die,Genies,Genius
Die,Ziege,Die,Ziegen,Goat
Der,Sieg,Die,Siege,Victory
Die,Kombination,Die,Kombinationen,Combination
Die,Zugehörigkeit,Die,Zugehörigkeiten,Affiliation
Die,Mama,Die,Mamas,Momma
Das,Kap,Die,Kaps,Cape
Der,Scheinwerfer,Die,Scheinwerfer,Headlight
Der,Gouverneur,Die,Gouverneure,Governor
Der,Sauerstoff,,,Oxygen
Der,Bischof,Die,Bischöfe,Bishop
Das,Bündel,Die,Bündel,Bundle
Die,Entwicklung,Die,Entwicklungen,Development
Der,Fingernagel,Die,Fingernägel,Fingernail
Der,Punktestand,Die,Punktestände,Score
Der,Kamerad,Die,Kameraden,Mate
Der,Reiter,Die,Reiter,Rider
Die,Umlaufbahn,Die,Umlaufbahnen,Orbit
Die,Rebe,Die,Reben,Vine
Die,Suite,Die,Suiten,Suite
Der,Barkeeper,Die,Barkeeper,Bartender
Die,Cola,,,Coke
Die,Melodie,Die,Melodien,Tune
Der,Ruhm,,,Glory
Der,Rabbi,,,Rabbi
Die,Operation,Die,Operationen,Surgery
Das,Rindvieh,,,Cattle
Das,Ritual,Die,Rituale,Ritual
Der,Gruß,Die,Grüße,Greeting
Die,Scheibe,Die,Scheiben,Slice
Der,Homer,Die,Homers,Homer
Der,Kamin,Die,Kamine,Fireplace
Das,Trikot,Die,Trikots,Jersey
Die,Medien,,,Media
Der,Knall,Die,Knalle,Pop
Die,Ladung,Die,Ladungen,Cargo
Die,Herberge,Die,Herbergen,Inn
Der,Stellvertreter,Die,Stellvertreter,Deputy
Die,Verzweiflung,,,Despair
Das,Gebiet,Die,Gebiete,Territory
Der,Schlag,Die,Schläge,Punch
Der,Jazz,,,Jazz
Die,Umarmung,Die,Umarmungen,Hug
Die,Pfeife,Die,Pfeifen,Whistle
Die,Menschheit,,,Humanity
Das,Handwerk,Die,Handwerke,Craft
Das,Tageslicht,,,Daylight
Der,Wert,Die,Werte,Worth
Die,Einlage,Die,Einlagen,Slip
Die,Rüstung,Die,Rüstungen,Armor
Der,Rucksack,Die,Rucksäcke,Backpack
Der,Vorschlag,Die,Vorschläge,Suggestion
Die,Höhle,Die,Höhlen,Den
Das,Symbol,Die,Symbole,Symbol
Die,Kolonie,Die,Kolonien,Colony
Der,Schluss,Die,Schlüsse,Conclusion
Das,Nasenloch,Die,Nasenlöcher,Nostril
Der,Speer,Die,Speere,Spear
Der,Impuls,Die,Impulse,Impulse
Die,Tomate,Die,Tomaten,Tomato
Das,Kalb,Die,Kälber,Calf
Der,Herbst,,,Autumn
Die,Entdeckung,Die,Entdeckungen,Discovery
Das,Klassenzimmer,Die,Klassenzimmer,Classroom
Die,Lieferung,Die,Lieferungen,Delivery
Das,Spray,Die,Sprays,Spray
Die,Flüssigkeit,Die,Flüssigkeiten,Liquid
Der,Treibstoff,,,Fuel
Die,Unterwäsche,,,Underwear
Die,Kuppel,Die,Kuppeln,Dome
Die,Bevölkerung,,,Population
Die,Zuneigung,,,Affection
Die,Religion,Die,Religionen,Religion
Der,Sänger,Die,Sängerinnen,Singer
Der,Bedienstete,Die,Bediensteten,Attendant
Die,Illusion,Die,Illusionen,Illusion
Der,Link,Die,Links,Link
Die,Lounge,Die,Lounges,Lounge
Das,Innere,Die,Innenräume,Interior
Das,Achselzucken,,,Shrug
Die,Zone,Die,Zonen,Zone
Der,Standard,Die,Standards,Standard
Die,Kohle,,,Coal
Die,Jagd,Die,Jagden,Chase
Der,Kloß,Die,Klöße,Lump
Der,Charme,Die,Charmes,Charm
Die,Legende,Die,Legenden,Legend
Die,Konsequenz,Die,Konsequenzen,Consequence
Die,Beobachtung,Die,Beobachtungen,Observation
Das,Fahrrad,Die,Fahrräder,Bicycle
Der,Schaden,,,Harm
Der,Lohn,Die,Löhne,Pay
Die,Aussicht,Die,Aussichten,Prospect
Die,U-Bahn,Die,U-Bahnen,Subway
Das,Muster,Die,Muster,Sample
Die,Kirsche,Die,Kirschen,Cherry
Der,Händler,Die,Händler,Dealer
Die,Aufgabe,Die,Aufgaben,Assignment
Die,Eile,,,Hurry
Die,Geliebte,Die,Geliebten,Mistress
Der,Hügel,Die,Hügel,Mound
Der,Unsinn,,,Nonsense
Der,Ausschuss,Die,Ausschüsse,Committee
Das,Echo,Die,Echos,Echo
Der,Nachgiebigkeit,,,Slack
Die,Decker,,,Decker
Das,Lager,Die,Lager,Warehouse
Der,Kampf,Die,Kämpfe,Bout
Der,Toast,Die,Toasts,Toast
Die,Einrichtung,Die,Einrichtungen,Facility
Der,Basketball,,,Basketball
Der,Schnurrbart,Die,Schnurrbärte,Mustache
Der,Senator,Die,Senatoren,Senator
Die,Aktie,Die,Aktien,Share
Das,Augenlid,Die,Augenlider,Eyelid
Die,Begeisterung,,,Enthusiasm
Das,Stück,Die,Stücke,Chunk
Die,Schildkröte,Die,Schildkröten,Turtle
Der,Alkohol,,,Alcohol
Der,Kaugummi,Die,Kaugummis,Gum
Der,Truthahn,Die,Truthähne,Turkey
Der,Prediger,Die,Prediger,Preacher
Der,Besitz,,,Possession
Die,Sackkarre,Die,Sackkarren,Dolly
Das,Leinen,,,Linen
Die,Entschuldigung,Die,Entschuldigungen,Apology
Der,Vortrag,Die,Vorträge,Lecture
Der,Fels,Die,Felsen,Boulder
Der,Haufen,Die,Haufen,Heap
Der,Fotograf,Die,Fotografen,Photographer
Die,Bremse,Die,Bremsen,Brake
Die,Nachfrage,Die,Nachfragen,Demand
Die,Schürze,Die,Schürzen,Apron
Der,Umhang,Die,Umhänge,Cloak
Die,Jury,Die,Jurys,Jury
Die,Anhörung,Die,Anhörungen,Hearing
Das,Grau,,,Gray
Die,Kiste,Die,Kisten,Crate
Die,Methode,Die,Methoden,Method
Die,Referenz,Die,Referenzen,Reference
Der,Ekel,,,Disgust
Der,Schnaps,Die,Schnäpse,Liquor
Der,Lippenstift,Die,Lippenstifte,Lipstick
Der,Kern,Die,Kerne,Core
Das,Individuum,Die,Individuen,Individual
Der,Container,Die,Container,Container
Die,Hure,Die,Huren,Whore
Das,Kleinkind,Die,Kleinkinder,Infant
Die,Sonnenbrille,Die,Sonnenbrillen,Sunglasses
Die,Hose,Die,Hosen,Hose
Das,Konzert,Die,Konzerte,Concert
Der,Unsinn,,,Bullshit
Die,Eisenbahn,Die,Eisenbahnen,Railroad
Die,Parade,Die,Paraden,Parade
Das,Abteil,Die,Abteile,Compartment
Der,Bewohner,Die,Bewohner,Resident
Der,Ofen,Die,Öfen,Oven
Der,Techniker,Die,Techniker,Technician
Das,Verfahren,Die,Verfahren,Procedure
Der,Kämpfer,Die,Kämpfer,Fighter
Das,Korn,Die,Körner,Grain
Das,Picknick,Die,Picknicks,Picnic
Der,Stamm,Die,Stämme,Tribe
Die,Knospe,Die,Knospen,Bud
Die,Wiese,Die,Wiesen,Meadow
Die,Öffentlichkeit,,,Public
Das,Gift,Die,Gifte,Poison
Der,Büffel,Die,Büffel,Buffalo
Die,Region,Die,Regionen,Region
Die,Produktion,Die,Produktionen,Production
Das,Laufen,,,Running
Die,Schleife,Die,Schleifen,Loop
Das,Schlafen,,,Sleeping
Die,Limonade,Die,Limonaden,Soda
Die,Eule,Die,Eulen,Owl
Das,Menü,Die,Menüs,Menu
Der,Tritt,Die,Tritte,Kick
Der,Ruin,Die,Ruinen,Ruin
Die,Rampe,Die,Rampen,Ramp
Die,Streif,Die,Streifen,Streak
Der,Unterarm,Die,Unterarme,Forearm
Das,Büro,Die,Büros,Bureau
Das,Gelenk,Die,Gelenke,Knuckle
Die,Gans,Die,Gänse,Goose
Der,Fortschritt,Die,Fortschritte,Advance
Die,Fee,Die,Feen,Fairy
Die,Krankheit,Die,Krankheiten,Illness
Das,Kommando,Die,Kommandos,Squad
Der,Beamte,Die,Beamten,Official
Die,Marke,Die,Marken,Brand
Das,Organ,Die,Organe,Organ
Der,Schmetterling,Die,Schmetterlinge,Butterfly
Das,Imperium,Die,Reiche,Empire
Das,Profil,Die,Profile,Profile
Die,Freiheit,Die,Freiheiten,Liberty
Der,Unglaube,,,Disbelief
Der,Hain,Die,Haine,Grove
Der,Schild,Die,Schilde,Shield
Der,Sattel,Die,Sättel,Saddle
Die,Chancen,,,Odds
Der,Cluster,Die,Cluster,Cluster
Der,Satellit,Die,Satelliten,Satellite
Der,Auslöser,Die,Auslöser,Trigger
Der,Welpe,Die,Welpen,Puppy
Das,Warten,,,Waiting
Die,Glühbirne,Die,Glühbirnen,Bulb
Die,Kommode,Die,Kommoden,Dresser
Die,Patrouille,Die,Patrouillen,Patrol
Der,Adler,Die,Adler,Eagle
Die,Privatsphäre,,,Privacy
Die,Flüssigkeit,Die,Flüssigkeiten,Fluid
Die,Herde,,,Herd
Die,Kopfschmerzen,,,Headache
Die,Unterhaltung,Die,Unterhaltungen,Amusement
Der,Rollstuhl,Die,Rollstühle,Wheelchair
Die,Politik,,,Policy
Die,Schönheit,Die,Schönheiten,Belle
Der,Tabak,,,Tobacco
Die,Einstellung,Die,Einstellungen,Setting
Das,Tattoo,Die,Tattoos,Tattoo
Die,Belastung,Die,Belastungen,Burden
Der,Händler,Die,Händler,Merchant
Die,Rutsche,Die,Rutschen,Slide
Der,Fleck,Die,Flecken,Stain
Das,Essen,,,Eating
Die,Bindung,Die,Bindungen,Bond
Das,Schwimmen,,,Swimming
Die,Stiftung,Die,Stiftungen,Foundation
Die,Verletzung,Die,Verletzungen,Injury
Die,Liga,Die,Ligen,League
Die,Batterie,Die,Batterien,Battery
Der,Regenschirm,Die,Regenschirme,Umbrella
Der,Kaiser,Die,Kaiser,Emperor
Der,Pier,Die,Piers,Pier
Der,Wasserhahn,Die,Wasserhähne,Tap
Das,Witz,Die,Witze,Wit
Der,Cutter,Die,Cutter,Cutter
Der,Dachboden,Die,Dachböden,Attic
Der,Tiger,Die,Tiger,Tiger
Der,Freund,Die,Freunde,Pal
Der,Vorfahr,Die,Vorfahren,Ancestor
Die,Konzentration,,,Concentration
Der,Berg,Die,Berge,Mount
Die,Kosten,,,Expense
Der,Segen,Die,Segen,Blessing
Der,Urlaub,,,Leave
Der,Vorsprung,Die,Vorsprünge,Ledge
Die,Fackel,Die,Fackeln,Torch
Die,Tinte,,,Ink
Die,Handlung,Die,Handlungen,Plot
Die,Miete,Die,Mieten,Rent
Die,Maultier,Die,Maultiere,Mule
Der,Bogen,Die,Bögen,Arch
Die,Umwelt,Die,Umwelten,Environment
Die,Stirnrunzeln,,,Frown
Der,Inspektor,Die,Inspektoren,Inspector
Die,Mitte,Die,Mitte,Midst
Die,Peinlichkeit,Die,Peinlichkeiten,Embarrassment
Die,Beschwerde,Die,Beschwerden,Complaint
Die,Portion,Die,Portionen,Portion
Die,Wegwerfen,,,Chuck
Die,Lichtung,Die,Lichtungen,Clearing
Die,Krise,Die,Krisen,Crisis
Die,Halskette,Die,Halsketten,Necklace
Die,Laterne,Die,Laternen,Lantern
Der,Reichtum,,,Wealth
Der,Mörder,Die,Mörder,Murderer
Die,Zivilisation,Die,Zivilisationen,Civilization
Das,Konzept,Die,Konzepte,Concept
Das,Lamm,Die,Lämmer,Lamb
Die,Schritt,Die,Schritte,Stride
Das,Manschette,Die,Manschetten,Cuff
Die,Jungfrau,Die,Jungfrauen,Virgin
Das,Eichhörnchen,Die,Eichhörnchen,Squirrel
Das,Baby,Die,Babys,Babe
Der,Star,Die,Stare,Starling
Die,Depression,Die,Depressionen,Depression
Die,Lagerung,Die,Lagerungen,Storage
Der,Altar,Die,Altäre,Altar
Die,Tragödie,Die,Tragödien,Tragedy
Die,Ressource,Die,Ressourcen,Resource
Der,Reisende,Die,Reisenden,Traveler
Das,Vertrauen,,,Trust
Der,Bogen,Die,Bögen,Arc
Das,Königreich,Die,Königreiche,Kingdom
Das,Juwel,Die,Juwelen,Jewel
Der,Musiker,Die,Musiker,Musician
Das,Flugzeug,Die,Flugzeuge,Airplane
Der,Müll,,,Junk
Der,Sonnenschein,,,Sunshine
Der,Junge,Die,Jungen,Lad
Der,Elf,Die,Elfen,Elf
Der,Protest,Die,Proteste,Protest
Die,Jagd,Die,Jagden,Hunt
Der,Geschäftsführer,Die,Geschäftsführer,Executive
Das,Tagebuch,Die,Tagebücher,Diary
Der,Aspekt,Die,Aspekte,Aspect
Das,Zifferblatt,Die,Zifferblätter,Dial
Der,Pantoffel,Die,Pantoffel,Slipper
Die,Schauspielerin,Die,Schauspielerinnen,Actress
Das,Schießen,,,Shooting
Der,Ohrring,Die,Ohrringe,Earring
Die,Ameise,Die,Ameisen,Ant
Das,Brötchen,Die,Brötchen,Patty
Die,Sauce,Die,Saucen,Sauce
Die,Rakete,Die,Raketen,Missile
Die,Intensität,,,Intensity
Der,Graben,Die,Gräben,Ditch
Das,Gänseblümchen,Die,Gänseblümchen,Daisy
Die,Kapelle,Die,Kapellen,Chapel
Das,Sumpf,Die,Sümpfe,Swamp
Die,Beziehung,Die,Beziehungen,Relation
Die,Vermutung,Die,Vermutungen,Guess
Der,Kran,Die,Kräne,Crane
Das,Aufeinandertreffen,Die,Aufeinandertreffen,Encounter
Die,Abfolge,Die,Abfolgen,Sequence
Das,Fragment,Die,Fragmente,Fragment
Die,Ausarbeitung,Die,Ausarbeitungen,Draft
Das,Speiselokal,Die,Speiselokale,Diner
Die,Funktion,Die,Funktionen,Function
Die,Organisation,Die,Organisationen,Organization
Das,Skelett,Die,Skelette,Skeleton
Das,Elend,,,Misery
Das,Kraut,Die,Kräuter,Herb
Der,Stumpf,Die,Stümpfe,Stump
Der,Einsatz,Die,Einsätze,Stake
Das,Puff,Die,Puffs,Puff
Die,Schaffung,Die,Schaffungen,Creation
Das,Erwachen,Die,Erwachen,Wake
Der,Zauberer,Die,Zauberer,Wizard
Das,Matte,Die,Matten,Mat
Die,Dichtung,Die,Dichtungen,Seal
Die,Dämmerung,,,Twilight
Das,Grunzen,Die,Grunzen,Grunt
Die,Bestrafung,Die,Bestrafungen,Punishment
Der,Clan,Die,Clans,Clan
Das,Kupfer,,,Copper
Der,Schutt,,,Debris
Der,Maler,Die,Maler,Painter
Die,Lenkung,Die,Lenkungen,Steering
Die,Mathematik,,,Math
Die,Anerkennung,,,Recognition
Der,Gemüt,,,Temper
Das,Bedauern,,,Regret
Das,Ziel,Die,Ziele,Destination
Die,Mühle,Die,Mühlen,Mill
Der,Fehler,Die,Fehler,Error
Die,Romanze,Die,Romanzen,Romance
Das,Thema,Die,Themen,Topic
Die,Terrasse,Die,Terrassen,Patio
Die,Schaufel,Die,Schaufeln,Shovel
Der,Schlafanzug,Die,Schlafanzüge,Pajamas
Die,E-Mail,Die,E-Mails,EMail
Die,Taube,Die,Tauben,Pigeon
Der,Dinosaurier,Die,Dinosaurier,Dinosaur
Die,Industrie,Die,Industrien,Industry
Der,Operator,Die,Operatoren,Operator
Der,Aufzug,Die,Aufzüge,Lift
Der,Berater,Die,Berater,Counselor
Das,Treffen,Die,Treffen,Gathering
Das,Prinzip,Die,Prinzipien,Principle
Das,Drama,Die,Dramen,Drama
Das,Küken,Die,Küken,Chick
Das,Diagramm,Die,Diagramme,Chart
Die,Kampagne,Die,Kampagnen,Campaign
Der,Lorbeer,Die,Lorbeeren,Laurel
Das,Steak,Die,Steaks,Steak
Der,Verbrecher,Die,Verbrecher,Criminal
Der,Globus,Die,Globen,Globe
Der,Bluterguss,Die,Blutergüsse,Bruise
Der,Knopf,Die,Knöpfe,Knob
Der,Mord,Die,Morde,Killing
Die,Liebste,Die,Liebsten,Sweetheart
Die,Oper,Die,Opern,Opera
Der,Frost,,,Frost
Die,Brustwarze,Die,Brustwarzen,Nipple
Der,Pfarrer,Die,Pfarrer,Reverend
Der,Dunst,,,Haze
Die,Überschwemmung,Die,Überschwemmungen,Flood
Das,Lied,Die,Lieder,Carol
Die,Schwäche,Die,Schwächen,Weakness
Das,Kochen,,,Cooking
